url,titulo,descripcion,fecha
https://www.elheraldo.co/atlantico/2025/11/16/al-gobierno-lo-cogio-la-tarde-expertos-alertan-retrasos-en-proyectos-de-energia-claves-para-el-pais/,Retraso en proyectos renovables pone en riesgo estabilidad eléctrica,"Falta poco para despedir este año y darle la bienvenida al 2026, el cual seguramente la mayoría de los sectores del país esperan con grandes ...","sáb, 15 nov 2025"
https://www.elheraldo.co/la-guajira/2025/10/09/aprendiz-del-sena-la-guajira-representara-a-colombia-en-worldskills-shanghai-2026/,Aprendiz del Sena La Guajira representará a Colombia en WorldSkills Shanghái 2026,"El aprendiz del Sena Seccional La Guajira, Juan Pablo Mendoza López , logró un cupo para representar a Colombia en la competencia mundial de WorldSkills ...","jue, 9 oct 2025"
https://www.elheraldo.co/la-guajira/2025/06/19/licenciamientos-de-proyectos-renovables-no-convencionales-en-la-guajira-estan-al-dia-anla/,“Licenciamientos de proyectos renovables no convencionales en La Guajira están al día”: ANLA,"La directora de la Autoridad Nacional de Licencias Ambientales (ANLA), Irene Vélez Torres, aseguró este jueves que se mantienen al día todos los trámites de ...","jue, 19 jun 2025"
https://www.elheraldo.co/atlantico/2025/10/26/isagen-fortalece-su-apuesta-por-las-energias-renovables-en-el-norte-de-colombia/,Isagen fortalece su apuesta por las energías renovables  en el norte de Colombia,"El Caribe colombiano , reconocido por su potencial en energías renovables como la solar y la eólica , sigue siendo la apuesta de grandes inversionistas ...","sáb, 25 oct 2025"
https://www.elheraldo.co/la-guajira/2025/06/19/anuncian-incentivo-de-mas-de-96-mil-millones-para-impulsar-el-desarrollo-sostenible-en-la-guajira/,Anuncian incentivo de más de $96 mil millones para impulsar el desarrollo sostenible en La ...,"El ministro de Minas y Energía, Edwin Palma, anunció que el Gobierno nacional firmará una resolución que le da vía libre a la distribución de ...","jue, 19 jun 2025"
https://www.elheraldo.co/colombia/2025/07/07/ecopetrol-compro-wind-autogeneracion-empresa-propietaria-del-proyecto-eolico-en-la-guajira/,"Ecopetrol compró Wind Autogeneración, empresa propietaria del proyecto eólico en La Guajira","Ecopetrol informó este lunes 7 de julio que logró adquirir el 100 % de las acciones de la compañía Wind Autogeneración S.A.S ., sociedad controlada ...","lun, 7 jul 2025"
https://www.elheraldo.co/la-guajira/2025/05/20/con-la-participacion-de-air-e-se-realizo-el-seminario-soluciones-energeticas-renovables-en-las-redes-electricas-locales-en-maicao/,Con la participación de Air-e se realizó el seminario ‘Soluciones energéticas renovables en las redes ...,"Este martes 20 de mayo, en el auditorio de la Universidad de La Guajira, en el municipio de Maicao, se llevó a cabo el seminario ...","mar, 20 may 2025"
https://www.elheraldo.co/la-guajira/2024/12/21/otra-firma-de-proyectos-eolicos-en-la-guajira-se-marcha-del-pais/,Otra firma de proyectos eólicos en La Guajira se marcha del país,"Los parque s eólicos Alpha y Beta, a cargo de la EDP Renewables , y que están en La Guajira, serán vendidos porque dicha entidad ...","sáb, 21 dic 2024"
https://www.elheraldo.co/la-guajira/2022/06/17/sena-y-usaid-lanzan-programa-en-energias-renovables-en-la-guajira/,SENA y USAID lanzan programa en energías renovables en La Guajira,"En Riohacha se cumplió el lanzamiento del programa de formación técnica en energías renovables para jóvenes líderes de las comunidades indígenas, producto de la articulación ...","vie, 17 jun 2022"
https://www.elheraldo.co/atlantico/2025/08/31/lagunas-costeras-en-la-guajira-un-refugio-vital-de-aves-migratorias-y-en-peligro/,"Lagunas costeras en La Guajira, un refugio vital de aves migratorias  y en peligro",En el departamento de La Guajira se encuentra ubicado un verdadero tesoro de biodiversidad. Las lagunas costeras en este territorio albergan más de 24 mil ...,"sáb, 30 ago 2025"
